code,parent_code,level,name,kode_pos
11,,1,Aceh,
11.01,11,2,Kabupaten Aceh Selatan,
11.01.01,11.01,3,Bakongan,
11.01.01.2001,11.01.01,4,Keude Bakongan,23773
11.01.01.2002,11.01.01,4,Ujong Mangki,23773
11.01.01.2003,11.01.01,4,Ujong Padang,23773
11.01.01.2004,11.01.01,4,Gampong Drien,23773
11.01.01.2015,11.01.01,4,Darul Ikhsan,23773
11.01.01.2016,11.01.01,4,Padang Beurahan,23773
11.01.01.2017,11.01.01,4,Gampong Baro,23773
11.01.02,11.01,3,Kluet Utara,
11.01.02.2001,11.01.02,4,Fajar Harapan,23771
11.01.02.2002,11.01.02,4,Krueng Batee,23771
11.01.02.2003,11.01.02,4,Pasi Kuala Asahan,23771
11.01.02.2004,11.01.02,4,Gunong Pulo,23771
11.01.02.2005,11.01.02,4,Pulo Ie I,23771
11.01.02.2006,11.01.02,4,Jambo Manyang,23771
11.01.02.2007,11.01.02,4,Simpang Empat,23771
11.01.02.2008,11.01.02,4,Limau Purut,23771
11.01.02.2009,11.01.02,4,Pulo Kambing,23771
11.01.02.2010,11.01.02,4,Kampung Paya,23771
11.01.02.2011,11.01.02,4,Krueng Batu,23771
11.01.02.2012,11.01.02,4,Krueng Kluet,23771
11.01.02.2013,11.01.02,4,Alur Mas,23771
11.01.02.2014,11.01.02,4,Kampung Tinggi,23771
11.01.02.2015,11.01.02,4,Ruak,23771
11.01.02.2016,11.01.02,4,Simpang Lhee,23771
11.01.02.2017,11.01.02,4,Suaq Geuringgeng,23771
11.01.02.2018,11.01.02,4,Pasi Kuala Ba'u,23771
11.01.02.2019,11.01.02,4,Kedai Padang,23771
11.01.02.2020,11.01.02,4,Kotafajar,23771
11.01.02.2021,11.01.02,4,Gunung Pudung,23771
11.01.03,11.01,3,Kluet Selatan,
11.01.03.2001,11.01.03,4,Suaq Bakung,23772
11.01.03.2002,11.01.03,4,Rantau Binuang,23772
11.01.03.2003,11.01.03,4,Barat Daya,23772
11.01.03.2004,11.01.03,4,Sialang,23772
11.01.03.2005,11.01.03,4,Kapeh,23772
11.01.03.2006,11.01.03,4,Pulo Ie,23772
11.01.03.2007,11.01.03,4,Kedai Runding,23772
11.01.03.2008,11.01.03,4,Kedai Kandang,23772
11.01.03.2009,11.01.03,4,Gampong Luar,23772
11.01.03.2010,11.01.03,4,Ujung,23772
11.01.03.2011,11.01.03,4,Jua,23772
11.01.03.2012,11.01.03,4,Pasi Meurapat,23772
11.01.03.2013,11.01.03,4,Ujung Pasir,23772
11.01.03.2014,11.01.03,4,Geulumbuk,23772
11.01.03.2015,11.01.03,4,Pasie Lembang,23772
11.01.03.2016,11.01.03,4,Ujung Padang,23772
11.01.03.2017,11.01.03,4,Indra Damai,23772
11.01.04,11.01,3,Labuhanhaji,
11.01.04.2001,11.01.04,4,Bakau Hulu,23761
11.01.04.2002,11.01.04,4,Padang Bakau,23761
11.01.04.2003,11.01.04,4,Manggis Harapan,23761
11.01.04.2004,11.01.04,4,Pasar Lama,23761
11.01.04.2005,11.01.04,4,Apha,23761
11.01.04.2006,11.01.04,4,Ujung Batu,23761
11.01.04.2007,11.01.04,4,Pawoh,23761
11.01.04.2008,11.01.04,4,Dalam,23761
11.01.04.2009,11.01.04,4,Kota Palak,23761
11.01.04.2010,11.01.04,4,Cacang,23761
11.01.04.2011,11.01.04,4,Tengah Pisang,23761
11.01.04.2012,11.01.04,4,Pisang,23761
11.01.04.2013,11.01.04,4,Hulu Pisang,23761
11.01.04.2014,11.01.04,4,Tengah Baru,23761
11.01.04.2015,11.01.04,4,Lembah Baru,23761
11.01.04.2016,11.01.04,4,Padang Baru,23761
11.01.05,11.01,3,Meukek,
11.01.05.2001,11.01.05,4,Kuta Buloh II,23754
11.01.05.2002,11.01.05,4,Kuta Buloh I,23754
11.01.05.2003,11.01.05,4,Ie Dingen,23754
11.01.05.2004,11.01.05,4,Drien Jalo,23754
11.01.05.2005,11.01.05,4,Jambo Papeun,23754
11.01.05.2006,11.01.05,4,Buket Meuh,23754
11.01.05.2007,11.01.05,4,Blang Kuala,23754
11.01.05.2008,11.01.05,4,Rot Teungoh,23754
11.01.05.2009,11.01.05,4,Alue Baro,23754
11.01.05.2010,11.01.05,4,Ladang Tuha,23754
11.01.05.2011,11.01.05,4,Lhok Mamplam,23754
11.01.05.2012,11.01.05,4,Arun Tunggai,23754
11.01.05.2013,11.01.05,4,Blang Teungoh,23754
11.01.05.2014,11.01.05,4,Blang Bladeh,23754
11.01.05.2015,11.01.05,4,Ie Buboh,23754
11.01.05.2016,11.01.05,4,Keude Meukek,23754
11.01.05.2017,11.01.05,4,Kuta Baro,23754
11.01.05.2018,11.01.05,4,Tanjung Harapan,23754
11.01.05.2019,11.01.05,4,Labuhan Tarok,23754
11.01.05.2020,11.01.05,4,Lhok Aman,23754
11.01.05.2021,11.01.05,4,Alue Meutuah,23754
11.01.05.2022,11.01.05,4,Ladang Baro,23754
11.01.05.2023,11.01.05,4,Labuhan Tarok II,23754
11.01.06,11.01,3,Samadua,
11.01.06.2001,11.01.06,4,Dalam,23752
11.01.06.2002,11.01.06,4,Subarang,23752
11.01.06.2003,11.01.06,4,Kuta Baru,23752
11.01.06.2004,11.01.06,4,Gunung Ketek,23752
11.01.06.2005,11.01.06,4,Ladang Panton Luas,23752
11.01.06.2006,11.01.06,4,Madat,23752
11.01.06.2007,11.01.06,4,Alur Seumerah,23752
11.01.06.2008,11.01.06,4,Tengah,23752
11.01.06.2009,11.01.06,4,Gunung Cut,23752
11.01.06.2010,11.01.06,4,Alur Pinang,23752
11.01.06.2011,11.01.06,4,Kuta Blang,23752
11.01.06.2012,11.01.06,4,Batee Tunggai,23752
11.01.06.2013,11.01.06,4,Ujung Tanah,23752
11.01.06.2014,11.01.06,4,Ujung Kampung,23752
11.01.06.2015,11.01.06,4,Jilatang,23752
11.01.06.2016,11.01.06,4,Luar,23752
11.01.06.2017,11.01.06,4,Lubuk Layu,23752
11.01.06.2018,11.01.06,4,Suaq Hulu,23752
11.01.06.2019,11.01.06,4,Tampang,23752
11.01.06.2020,11.01.06,4,Payonan Gadang,23752
11.01.06.2021,11.01.06,4,Gadang,23752
11.01.06.2022,11.01.06,4,Baru,23752
11.01.06.2023,11.01.06,4,Ladang Kasik Putih,23752
11.01.06.2024,11.01.06,4,Air Sialang Hilir,23752
11.01.06.2025,11.01.06,4,Air Sialang Hulu,23752
11.01.06.2026,11.01.06,4,Air Sialang Tengah,23752
11.01.06.2027,11.01.06,4,Balai,23752
11.01.06.2028,11.01.06,4,Arafah,23752
11.01.07,11.01,3,Sawang,
11.01.07.2001,11.01.07,4,Sikulat,23753
11.01.07.2002,11.01.07,4,Sawang I,23753
11.01.07.2003,11.01.07,4,Meuligo,23753
11.01.07.2004,11.01.07,4,Lhok Pawoh,23753
11.01.07.2005,11.01.07,4,Sawang II,23753
11.01.07.2006,11.01.07,4,Ujung Karang,23753
11.01.07.2007,11.01.07,4,Trieng Meuduro Baroh,23753
11.01.07.2008,11.01.07,4,Trieng Meuduro Tunong,23753
11.01.07.2009,11.01.07,4,Panton Luas,23753
11.01.07.2010,11.01.07,4,Simpang Tiga,23753
11.01.07.2011,11.01.07,4,Kuta Baro,23753
11.01.07.2012,11.01.07,4,Blang Geulinggang,23753
11.01.07.2013,11.01.07,4,Mutiara,23753
11.01.07.2014,11.01.07,4,Ujung Padang,23753
11.01.07.2015,11.01.07,4,Sawang Ba'u,23753
11.01.08,11.01,3,Tapaktuan,
11.01.08.2001,11.01.08,4,Lhok Keutapang,23718
11.01.08.2002,11.01.08,4,Hilir,23717
11.01.08.2003,11.01.08,4,Padang,23713
11.01.08.2004,11.01.08,4,Hulu,23714
11.01.08.2005,11.01.08,4,Jambo Apha,23716
11.01.08.2006,11.01.08,4,Tepi Air,23712
11.01.08.2007,11.01.08,4,Pasar,23711
11.01.08.2008,11.01.08,4,Lhok Bengkuang,23715
11.01.08.2009,11.01.08,4,Panton Luas,23711
11.01.08.2010,11.01.08,4,Gunung Kerambil,23711
11.01.08.2011,11.01.08,4,Air Berudang,23711
11.01.08.2012,11.01.08,4,Batu Itam,23711
11.01.08.2013,11.01.08,4,Panjupian,23711
11.01.08.2014,11.01.08,4,Lhok Rukam,23711
11.01.08.2015,11.01.08,4,Air Pinang,23711
11.01.08.2016,11.01.08,4,Lhok Bengkuang Timur,23712
11.01.09,11.01,3,Trumon,
11.01.09.2001,11.01.09,4,Keude Trumon,23774
11.01.09.2002,11.01.09,4,Ujong Tanoh,23774
11.01.09.2003,11.01.09,4,Sigleng,23774
11.01.09.2004,11.01.09,4,Ie Meudama,23774
11.01.09.2005,11.01.09,4,Teupin Tinggi,23774
11.01.09.2006,11.01.09,4,Kuta Baro,23774
11.01.09.2007,11.01.09,4,Panton Bilie,23774
11.01.09.2012,11.01.09,4,Kuta Padang,23774
11.01.09.2013,11.01.09,4,Raket,23774
11.01.09.2014,11.01.09,4,Gampong Teungoh,23774
11.01.09.2015,11.01.09,4,Seuneubok Jaya,23774
11.01.09.2016,11.01.09,4,Padang Harapan,23774
11.01.10,11.01,3,Pasie Raja,
11.01.10.2001,11.01.10,4,Ladang Teungoh,23755
11.01.10.2002,11.01.10,4,Pucok Krueng,23755
11.01.10.2003,11.01.10,4,Silolo,23755
11.01.10.2004,11.01.10,4,Kampung Baru,23755
11.01.10.2005,11.01.10,4,Panton Bili,23755
11.01.10.2006,11.01.10,4,Paya Ateuk,23755
11.01.10.2007,11.01.10,4,Ladang Tuha,23755
11.01.10.2008,11.01.10,4,Mata Ie,23755
11.01.10.2009,11.01.10,4,Ujong Batee,23755
11.01.10.2010,11.01.10,4,Lhok Sialang Cut,23755
11.01.10.2011,11.01.10,4,Seuneubok,23755
11.01.10.2012,11.01.10,4,Ie Mirah,23755
11.01.10.2013,11.01.10,4,Pasie Rasian,23755
11.01.10.2014,11.01.10,4,Ujung Padang Rasian,23755
11.01.10.2015,11.01.10,4,Krueng Kalee,23755
11.01.10.2016,11.01.10,4,Lhok Sialang Rayeuk,23755
11.01.10.2017,11.01.10,4,Gampong Baro,23755
11.01.10.2018,11.01.10,4,Teupin Gajah,23755
11.01.10.2019,11.01.10,4,Ujung Padang Asahan,23755
11.01.10.2020,11.01.10,4,Pulo Ie II,23755
11.01.10.2021,11.01.10,4,Pante Raja,23755
11.01.11,11.01,3,Labuhanhaji Timur,
11.01.11.2001,11.01.11,4,Tengah Peulumat,23758
11.01.11.2002,11.01.11,4,Paya Peulumat,23758
11.01.11.2003,11.01.11,4,Padang Peulumat,23758
11.01.11.2004,11.01.11,4,Aur Peulumat,23758
11.01.11.2005,11.01.11,4,Limau Saring,23758
11.01.11.2006,11.01.11,4,Beutong,23758
11.01.11.2007,11.01.11,4,Peuneulop,23758
11.01.11.2008,11.01.11,4,Gunung Rotan,23758
11.01.11.2009,11.01.11,4,Keumumu Hilir,23758
11.01.11.2010,11.01.11,4,Keumumu Hulu,23758
11.01.11.2011,11.01.11,4,Keumumu Seberang,23758
11.01.11.2012,11.01.11,4,Sawang Indah,23758
11.01.12,11.01,3,Labuhanhaji Barat,
11.01.12.2001,11.01.12,4,Tutong,23757
11.01.12.2002,11.01.12,4,Teungoh Iboh,23757
11.01.12.2003,11.01.12,4,Peulokan,23757
11.01.12.2004,11.01.12,4,Kuta Iboh,23757
11.01.12.2005,11.01.12,4,Ujung Padang,23757
11.01.12.2006,11.01.12,4,Blang Baru,23757
11.01.12.2007,11.01.12,4,Blang Poroh,23757
11.01.12.2008,11.01.12,4,Pulo Ie,23757
11.01.12.2009,11.01.12,4,Suak Lokan,23757
11.01.12.2010,11.01.12,4,Iku Lhueng,23757
11.01.12.2011,11.01.12,4,Kuta Trieng,23757
11.01.12.2012,11.01.12,4,Pante Geulima,23757
11.01.12.2013,11.01.12,4,Panton Pawoh,23757
11.01.12.2014,11.01.12,4,Batee Meucanang,23757
11.01.12.2015,11.01.12,4,Panton Rubek,23757
11.01.13,11.01,3,Kluet Tengah,
11.01.13.2001,11.01.13,4,Koto,23770
11.01.13.2002,11.01.13,4,Alur Keujrun,23770
11.01.13.2003,11.01.13,4,Jambo Papan,23770
11.01.13.2004,11.01.13,4,Malaka,23770
11.01.13.2005,11.01.13,4,Koto Indarung,23770
11.01.13.2006,11.01.13,4,Siurai-Urai,23770
11.01.13.2007,11.01.13,4,Kampung Sawah,23770
11.01.13.2008,11.01.13,4,Kampung Padang,23770
11.01.13.2009,11.01.13,4,Pulo Air,23770
11.01.13.2010,11.01.13,4,Lawe Melang,23770
11.01.13.2011,11.01.13,4,Mersak,23770
11.01.13.2012,11.01.13,4,Simpang Dua,23770
11.01.13.2013,11.01.13,4,Simpang Tiga,23770
11.01.14,11.01,3,Kluet Timur,
11.01.14.2001,11.01.14,4,Paya Dapur,23779
11.01.14.2002,11.01.14,4,Sapik,23779
11.01.14.2003,11.01.14,4,Alai,23779
11.01.14.2004,11.01.14,4,Durian Kawan,23779
11.01.14.2005,11.01.14,4,Lawe Sawah,23779
11.01.14.2006,11.01.14,4,Lawe Buluh Didi,23779
11.01.14.2007,11.01.14,4,Pucuk Lembang,23779
11.01.14.2008,11.01.14,4,Paya Laba,23779
11.01.14.2009,11.01.14,4,Lawe Cimanok,23779
11.01.15,11.01,3,Bakongan Timur,
11.01.15.2001,11.01.15,4,Pasie Seubadeh,23777
11.01.15.2002,11.01.15,4,Ladang Rimba,23777
11.01.15.2003,11.01.15,4,Ujong Pulo Rayeuk,23777
11.01.15.2004,11.01.15,4,Sawah Tingkeum,23777
11.01.15.2005,11.01.15,4,Simpang,23777
11.01.15.2006,11.01.15,4,Ujong Pulo Cut,23777
11.01.15.2008,11.01.15,4,Seuleukat,23777
11.01.16,11.01,3,Trumon Timur,
11.01.16.2005,11.01.16,4,Pinto Rimba,23776
11.01.16.2006,11.01.16,4,Krueng Luas,23776
11.01.16.2007,11.01.16,4,Jambo Dalem,23776
11.01.16.2008,11.01.16,4,Kapa Sesak,23776
11.01.16.2009,11.01.16,4,Seuneubok Punto,23776
11.01.16.2010,11.01.16,4,Seuneubok Pusaka,23776
11.01.16.2011,11.01.16,4,Alur Bujok,23776
11.01.16.2012,11.01.16,4,Titi Poben,23776
11.01.17,11.01,3,Kota Bahagia,
11.01.17.2001,11.01.17,4,Buket Gadeng,23778
11.01.17.2002,11.01.17,4,Rambong,23778
11.01.17.2003,11.01.17,4,Seuneubok Keuranji,23778
11.01.17.2004,11.01.17,4,Seuneubok Alur Buloh,23778
11.01.17.2005,11.01.17,4,Ujong Tanoh,23778
11.01.17.2006,11.01.17,4,Ujong Gunong Cut,23778
11.01.17.2007,11.01.17,4,Ujong Gunung Rayeuk,23778
11.01.17.2008,11.01.17,4,Beutong,23778
11.01.17.2009,11.01.17,4,Jambo Keupok,23778
11.01.17.2010,11.01.17,4,Alurduamas,23778
11.01.18,11.01,3,Trumon Tengah,
11.01.18.2001,11.01.18,4,Ladang Rimba,23775
11.01.18.2002,11.01.18,4,Gunong Kapho,23775
11.01.18.2003,11.01.18,4,Kampong Teungoh,23775
11.01.18.2004,11.01.18,4,Krueng Batee,23775
11.01.18.2005,11.01.18,4,Pulo Paya,23775
11.01.18.2006,11.01.18,4,Jambo Papeun,23775
11.01.18.2007,11.01.18,4,Cot Bayu,23775
11.01.18.2008,11.01.18,4,Naca,23775
11.01.18.2009,11.01.18,4,Ie Jeureuneh,23775
11.01.18.2010,11.01.18,4,Lhok Raya,23775
11.02,11,2,Kabupaten Aceh Tenggara,
11.02.01,11.02,3,Lawe Alas,
11.02.01.2001,11.02.01,4,Engkeran,24661
11.02.01.2002,11.02.01,4,Rumah Kampung,24661
11.02.01.2004,11.02.01,4,Pasir Bangun,24661
11.02.01.2006,11.02.01,4,Kubu,24661
11.02.01.2007,11.02.01,4,Lawe Kongker,24661
11.02.01.2008,11.02.01,4,Kuta Cingkam II,24661
11.02.01.2009,11.02.01,4,Muara Baru,24661
11.02.01.2011,11.02.01,4,Kuta Batu I,24661
11.02.01.2012,11.02.01,4,Kuta Cingkam I,24661
11.02.01.2013,11.02.01,4,Kuta Batu II,24661
11.02.01.2014,11.02.01,4,Lawe Sempilang,24661
11.02.01.2015,11.02.01,4,Prapat Batu Nunggul,24661
11.02.01.2016,11.02.01,4,Pulo Sepang,24661
11.02.01.2017,11.02.01,4,Rih Mbelang,24661
11.02.01.2018,11.02.01,4,Kute Batu Baru,24661
11.02.01.2019,11.02.01,4,Darul Amin,24661
11.02.01.2020,11.02.01,4,Lawe Lubang Indah,24661
11.02.01.2021,11.02.01,4,Batu Hamparan,24661
11.02.01.2022,11.02.01,4,Paye Munje,24661
11.02.01.2023,11.02.01,4,Pulo Ndadap,24661
11.02.01.2024,11.02.01,4,Pasir Nunggul,24661
11.02.01.2025,11.02.01,4,Cingkham Mekhanggun,24661
11.02.01.2026,11.02.01,4,Pintu Khimbe,24661
11.02.01.2027,11.02.01,4,Lawe Kongker Hilir,24661
11.02.01.2028,11.02.01,4,Pulo Gadung,24661
11.02.01.2029,11.02.01,4,Pasikh Pehkmate,24661
11.02.01.2030,11.02.01,4,Pasikh Nunang,24661
11.02.01.2031,11.02.01,4,Deleng Kukusen,24661
11.02.02,11.02,3,Lawe Sigala-Gala,
11.02.02.2001,11.02.02,4,Bukit Merdeka,24676
11.02.02.2002,11.02.02,4,Darul Aman,24676
11.02.02.2003,11.02.02,4,Lawe Kesumpat,24676
11.02.02.2004,11.02.02,4,Lawe Tua Gabungan,24676
11.02.02.2005,11.02.02,4,Lawe Sigala II,24676
11.02.02.2006,11.02.02,4,Lawe Sigala Timur,24676
11.02.02.2007,11.02.02,4,Lawe Sigala Barat,24676
11.02.02.2008,11.02.02,4,Suka Damai,24676
11.02.02.2009,11.02.02,4,Kute Tengah,24676
11.02.02.2010,11.02.02,4,Tanah Baru,24676
11.02.02.2011,11.02.02,4,Kedataran Gabungan,24676
11.02.02.2012,11.02.02,4,Gabungan Parsaroan,24676
11.02.02.2013,11.02.02,4,Lawe Loning Gabungan,24676
11.02.02.2014,11.02.02,4,Lawe Loning Aman,24676
11.02.02.2015,11.02.02,4,Suka Maju,24676
11.02.02.2016,11.02.02,4,Lawe Tua Makmur,24676
11.02.02.2017,11.02.02,4,Lawe Tua Persatuan,24676
11.02.02.2018,11.02.02,4,Lawe Serke,24676
11.02.02.2019,11.02.02,4,Lawe Rakat,24676
11.02.02.2020,11.02.02,4,Suka Jaya,24676
11.02.02.2021,11.02.02,4,Enmiya Batu Dua Ratus,24676
11.02.02.2022,11.02.02,4,Sebungke,24676
11.02.02.2023,11.02.02,4,Bukit Sepakat,24676
11.02.02.2024,11.02.02,4,Lawe Loning Sepakat,24676
11.02.02.2025,11.02.02,4,Lawe Loning I,24676
11.02.02.2026,11.02.02,4,Gaya Jaya,24676
11.02.02.2027,11.02.02,4,Gelah Musara,24676
11.02.02.2028,11.02.02,4,Mulie Dame,24676
11.02.02.2029,11.02.02,4,Lawe Loning Hakhapen,24676
11.02.02.2030,11.02.02,4,Karya Indah,24676
11.02.02.2031,11.02.02,4,Kayu Mbelin,24676
11.02.02.2032,11.02.02,4,Lawe Sigala Barat Jaya,24676
11.02.02.2033,11.02.02,4,Lawe Pekhidinen,24676
11.02.02.2034,11.02.02,4,Kertimbang,24676
11.02.02.2035,11.02.02,4,Ndauh Nitenggo,24676
11.02.03,11.02,3,Bambel,
11.02.03.2001,11.02.03,4,Bambel Gabungan,24672
11.02.03.2002,11.02.03,4,Kuta Buluh,24672
11.02.03.2005,11.02.03,4,Lawe Hijo,24672
11.02.03.2006,11.02.03,4,Pinding,24672
11.02.03.2009,11.02.03,4,Terutung Megara Asli,24672
11.02.03.2011,11.02.03,4,Biak Muli,24672
11.02.03.2012,11.02.03,4,Kute Lang-Lang,24672
11.02.03.2013,11.02.03,4,Pedesi,24672
11.02.03.2014,11.02.03,4,Terutung Payung Hulu,24672
11.02.03.2015,11.02.03,4,Terutung Payung Hilir,24672
11.02.03.2016,11.02.03,4,Tualang Sembilar,24672
11.02.03.2017,11.02.03,4,Kuning I,24672
11.02.03.2018,11.02.03,4,Kuning II,24672
11.02.03.2019,11.02.03,4,Cinta Damai,24672
11.02.03.2020,11.02.03,4,Likat,24672
11.02.03.2021,11.02.03,4,Rikit,24672
11.02.03.2023,11.02.03,4,Bambel,24672
11.02.03.2025,11.02.03,4,Lawe Kihing,24672
11.02.03.2026,11.02.03,4,Terutung Seperai,24672
11.02.03.2027,11.02.03,4,Kute Seri,24672
11.02.03.2028,11.02.03,4,Kuta Antara,24672
11.02.03.2029,11.02.03,4,Pulo Perengge,24672
11.02.03.2031,11.02.03,4,Pulo Kendondong,24672
11.02.03.2033,11.02.03,4,Pancakh Iman,24672
11.02.03.2034,11.02.03,4,Biak Muli Baru,24672
11.02.03.2035,11.02.03,4,Biak Muli Pantai Raja,24672
11.02.03.2036,11.02.03,4,Biak Muli Sejahtera,24672
11.02.03.2037,11.02.03,4,Lembah Haji,24672
11.02.03.2038,11.02.03,4,Terutung Payung Gabungan,24672
11.02.03.2039,11.02.03,4,Lawe Hijo Metuah,24672
11.02.03.2040,11.02.03,4,Ampera,24672
11.02.03.2041,11.02.03,4,Tembilakh Mbakhu,24672
11.02.03.2042,11.02.03,4,Kute Lang-Lang Bakhu,24672
11.02.04,11.02,3,Babussalam,
11.02.04.2001,11.02.04,4,Kota Kutacane,24664
11.02.04.2002,11.02.04,4,Perapat Hilir,24664
11.02.04.2003,11.02.04,4,Perapat Hulu,24664
11.02.04.2004,11.02.04,4,Muara Lawe Bulan,24664
11.02.04.2005,11.02.04,4,Mbarung,24664
11.02.04.2006,11.02.04,4,Batu Mbulan Asli,24664
11.02.04.2007,11.02.04,4,Batu Mbulan I,24664
11.02.04.2008,11.02.04,4,Batu Mbulan II,24664
11.02.04.2009,11.02.04,4,Kampung Raja,24664
11.02.04.2010,11.02.04,4,Pulonas,24664
11.02.04.2011,11.02.04,4,Kampung Melayu Gabungan,24664
11.02.04.2012,11.02.04,4,Terutung Pedi,24664
11.02.04.2013,11.02.04,4,Kute Rih,24664
11.02.04.2014,11.02.04,4,Gumpang Jaya,24664
11.02.04.2015,11.02.04,4,Pulo Latong,24664
11.02.04.2016,11.02.04,4,Kutacane Lama,24664
11.02.04.2017,11.02.04,4,Batu Mbulan Mbaru,24664
11.02.04.2018,11.02.04,4,Pulo Peding,24664
11.02.04.2019,11.02.04,4,Mendabe,24664
11.02.04.2020,11.02.04,4,Ujung Barat,24664
11.02.04.2021,11.02.04,4,Pekhapat Titi Panjang,24664
11.02.04.2022,11.02.04,4,Pekhapat Sepakat,24664
11.02.04.2023,11.02.04,4,Alas Marancar,24664
11.02.04.2024,11.02.04,4,Batu Mbulan Sepakat,24664
11.02.04.2025,11.02.04,4,Pulo Sanggakh,24664
11.02.04.2026,11.02.04,4,Melayu I,24664
11.02.04.2027,11.02.04,4,Mbarung Datuk Saudane,24664
11.02.05,11.02,3,Badar,
11.02.05.2005,11.02.05,4,Salang Alas,24666
11.02.05.2009,11.02.05,4,Kuta Pasir,24666
11.02.05.2011,11.02.05,4,Purwodadi,24666
11.02.05.2012,11.02.05,4,Kuta Tinggi,24666
11.02.05.2013,11.02.05,4,Kampung Baru,24666
11.02.05.2014,11.02.05,4,Peranginan,24666
11.02.05.2015,11.02.05,4,Natam,24666
11.02.05.2025,11.02.05,4,Kumbang Jaya,24666
11.02.05.2026,11.02.05,4,Kumbang Indah,24666
11.02.05.2027,11.02.05,4,Natam Baru,24666
11.02.05.2029,11.02.05,4,Deleng Megakhe,24666
11.02.05.2030,11.02.05,4,Lawe Bekung,24666
11.02.05.2031,11.02.05,4,Lawe Bekung Tampahan,24666
11.02.05.2032,11.02.05,4,Badar Indah,24666
11.02.05.2033,11.02.05,4,Batu Mbekhong,24666
11.02.05.2034,11.02.05,4,Tanah Merah,24666
11.02.05.2035,11.02.05,4,Tanoh Megakhe,24666
11.02.05.2036,11.02.05,4,Lawe Sekerah,24666
11.02.06,11.02,3,Babul Makmur,
11.02.06.2001,11.02.06,4,Pardomuan II,24673
11.02.06.2002,11.02.06,4,Lawe Desky I,24673
11.02.06.2003,11.02.06,4,Lawe Desky Sabas,24673
11.02.06.2004,11.02.06,4,Pardomuan I,24673
11.02.06.2005,11.02.06,4,Cinta Damai,24673
11.02.06.2006,11.02.06,4,Lawe Perbunga,24673
11.02.06.2007,11.02.06,4,Lawe Desky Tongah,24673
11.02.06.2008,11.02.06,4,Kute Bakti,24673
11.02.06.2010,11.02.06,4,Muara Situlen,24673
11.02.06.2011,11.02.06,4,Sejahtera,24673
11.02.06.2012,11.02.06,4,Kute Makmur,24673
11.02.06.2013,11.02.06,4,Pardamean,24673
11.02.06.2014,11.02.06,4,Lawe Mantik,24673
11.02.06.2015,11.02.06,4,Cinta Makmur,24673
11.02.06.2016,11.02.06,4,Muara Setia,24673
11.02.06.2017,11.02.06,4,Tanoh Alas,24673
11.02.06.2018,11.02.06,4,Sejahtera Baru,24673
11.02.06.2024,11.02.06,4,Lawe Tawakh,24673
11.02.06.2025,11.02.06,4,Sabilussalam,24673
11.02.06.2026,11.02.06,4,Lawe Desky Jaya,24673
11.02.06.2027,11.02.06,4,Pintu Alas,24673
11.02.07,11.02,3,Darul Hasanah,
11.02.07.2001,11.02.07,4,Gulo,24663
11.02.07.2002,11.02.07,4,Pulo Piku,24663
11.02.07.2003,11.02.07,4,Terutung Kute,24663
11.02.07.2004,11.02.07,4,Kute Ujung,24663
11.02.07.2005,11.02.07,4,Lawe Stul,24663
11.02.07.2006,11.02.07,4,Kite Merangun,24663
11.02.07.2007,11.02.07,4,Mamas,24663
11.02.07.2008,11.02.07,4,Tanjung Lama,24663
11.02.07.2009,11.02.07,4,Tanjung Muda,24663
11.02.07.2010,11.02.07,4,Rambung Teldak,24663
11.02.07.2011,11.02.07,4,Tanjung Aman,24663
11.02.07.2012,11.02.07,4,Sri Muda,24663
11.02.07.2013,11.02.07,4,Ujung Baru,24663
11.02.07.2014,11.02.07,4,Kute Rambe,24663
11.02.07.2015,11.02.07,4,Mamas Baru,24663
11.02.07.2016,11.02.07,4,Rambung Jaya,24663
11.02.07.2017,11.02.07,4,Makmur Jaya,24663
11.02.07.2018,11.02.07,4,Darul Makmur,24663
11.02.07.2019,11.02.07,4,Tanjung Bakhu,24663
11.02.07.2020,11.02.07,4,Pulo Gabung,24663
11.02.07.2021,11.02.07,4,Kokhtan Jaya,24663
11.02.07.2022,11.02.07,4,Istiqamah,24663
11.02.07.2023,11.02.07,4,Lawe Mamas Indah,24663
11.02.07.2024,11.02.07,4,Tanjung Leuser,24663
11.02.07.2025,11.02.07,4,Simpang IV Tanjung,24663
11.02.07.2026,11.02.07,4,Lawe Pinis,24663
11.02.07.2027,11.02.07,4,Buntul Kendawi,24663
11.02.07.2028,11.02.07,4,Kuning Abadi,24663
11.02.08,11.02,3,Lawe Bulan,
11.02.08.2001,11.02.08,4,Pasir Gala,24665
11.02.08.2002,11.02.08,4,Pasir Penjengakan,24665
11.02.08.2003,11.02.08,4,Kutambaru,24665
11.02.08.2004,11.02.08,4,Lawe Sagu Hulu,24665
11.02.08.2005,11.02.08,4,Lawe Sagu Hilir,24665
11.02.08.2006,11.02.08,4,Kute Bantil,24665
11.02.08.2011,11.02.08,4,Lawe Kolok,24665
11.02.08.2012,11.02.08,4,Lawe Rutung,24665
11.02.08.2013,11.02.08,4,Kampung Nangka,24665
11.02.08.2014,11.02.08,4,Tenembak Juhar,24665
11.02.08.2015,11.02.08,4,Simpang Empat,24665
11.02.08.2016,11.02.08,4,Kuta Buluh Botong,24665
11.02.08.2017,11.02.08,4,Katambaru Becawan,24665
11.02.08.2018,11.02.08,4,Lawe Kinge,24665
